EPA_organisation_identifier,EPA_organisation (lookup auto-populated),Standard_code,StandardName (lookup auto-populated),Delivery_area,,,
EPA0098,Institute of Animal Technology,179,Animal Technologist,All,,,
EPA0002,British Institute of Facilities Management,162,Facilities Management Supervisor,All,,,
EPA0010,EAL,59,Motor Vehicle Service and Maintenance Technician (light vehicle),All,,,
EPA0026,Chartered Management Institute,204,Senior Leader Master's Degree,All,,,
EPA0022,Innovate Awarding Limited,196,Business Administrator,All,,,
EPA0100,IOM Communications,160,Composites Technician,All,,,
EPA0101,The University of West London ,25,Digital and Technology Solutions Professional,All,,,
EPA0102,Lakes College West Cumbria,163,Nuclear Technician,All,,,
EPA0103,Essential Learning and Skills Ltd,155,Unified Communications Technician,All,,,
EPA0104,HEE National School of Healthcare Science,150,Healthcare Science Associate,All,,,
EPA0041,DSW Consulting,101,Retailer,All,,,
EPA0041,DSW Consulting,140,Retail Team Leader,All,,,
EPA0041,DSW Consulting,147,Retail Manager,All,,,
EPA0105,Skills for Logistics (2015) Ltd,110,Large Goods Vehicle (LGV) Driver,All,,,
EPA0064,AIM Awards,112,Broadcast Production Assistant,All,,,
EPA0064,AIM Awards,174,Junior Content Producer,All,,,
EPA0008,City and Guilds,155,Unified Communications Technician,All,,,
EPA0008,City and Guilds,120,Travel Consultant,All,,,
EPA0008,City and Guilds,101,Retailer,All,,,
EPA0008,City and Guilds,140,Retail Team Leader,All,,,
EPA0061,Training Qualifications UK,104,Operations/Departmental Manager,All,,,
EPA0061,Training Qualifications UK,105,Team Leader/Supervisor,All,,,
EPA0061,Training Qualifications UK,196,Business Administrator,All,,,
EPA0069,VTCT,122,Customer Service Practitioner,All,,,
EPA0069,VTCT,147,Retail Manager,All,,,
EPA0106,Colchester County High School for Girls ,203,Teacher,East of England,,,
EPA0107,Suffolk Chamber of Commerce,55,Chartered Manager Degree Apprenticeship,All,,,
EPA0108,TEACH Poole,203,Teacher,South East; South West,,,
EPA0038,Association of Chartered Certified Accountants ,204a,Accountancy Taxation Professional,All,,,
EPA0011,FDQ Ltd,177,Baker,All,,,
EPA0050,ICAEW,204a,Accountancy Taxation Professional,All,,,
EPA0045,Occupational Awards Limited,196,Business Administrator,All,,,
EPA0045,Occupational Awards Limited,122,Customer Service Practitioner,All,,,
EPA0045,Occupational Awards Limited,172,Fishmonger,All,,,
EPA0045,Occupational Awards Limited,140,Retail Team Leader,All,,,
EPA0045,Occupational Awards Limited,172,Fishmonger,All,,,
EPA0045,Occupational Awards Limited,209,Supply Chain Practitioner,All,,,
EPA0045,Occupational Awards Limited,223,Creative Venue Technician,All,,,
EPA0053,Active IQ,224,Leisure Duty Manager,All,,,
EPA0041,DSW Consulting,144,Senior Compliance / Risk Specialist,All,,,
EPA0058,iCQ,93,Commis Chef,All,,,
EPA0058,iCQ,138,Hospitality Supervisor,All,,,
EPA0058,iCQ,139,Senior Chef Production Cooking,All,,,
EPA0080,Institution of Civil Engineers,199,Civil Engineering Technician,All,,,
EPA0080,Institution of Civil Engineers,200,Civil Engineer,All,,,
EPA0109,Sheldrake Training Limited ,86,Aviation Ground Specialist,All,,,
EPA0109,Sheldrake Training Limited ,87,Aviation Ground Operative,All,,,
EPA0110,CIPD,190,HR Consultant / Partner,All,,,
EPA0110,CIPD,191,HR Support,All,,,
EPA0111,Cornwall SCITT,203,Teacher,South West,,,
EPA0112,Essex Teacher Training,203,Teacher,East of England; London; South East;,,,
EPA0113,Essex and Thames Primary SCITT,203,Teacher,East of England; London; South East; ,,,
EPA0114,Harris Initial Teacher Education,203,Teacher,London; South East; South West; ,,,
EPA0116,The Academy at Shotton Hall,203,Teacher,North East,,,
EPA0117,2Schools Consortium,203,Teacher,London,,,
EPA0118,Academy for Project Management,128,Associate Project Manager,All,,,
EPA0119,CSR Scientific Training Limited,14,Laboratory Technician,All,,,
EPA0119,CSR Scientific Training Limited,221,Laboratory Scientist,All,,,
EPA0120,Hygiene Sue Assessment,96,Hospitality Team Member,East of England; London; South East; South West; ,,,
EPA0121,East Sussex Teacher Training Partnership SCITT,203,Teacher,South East,,,
EPA0122,e-Qualitas,203,Teacher,East Midlands; London; South East; South West; ,,,
EPA0123,London Metropolitan University,203,Teacher,All,,,
EPA0124,Newman University,203,Teacher,All,,,
EPA0125,MP Awards,175,Mineral Processing Mobile and Static Plant Operator,All,,,
EPA0126,Mid Essex Initial Teacher Training,203,Teacher,East of England,,,
EPA0127,University of Roehampton,25,Digital and Technology Solutions Professional,All,,,
EPA0128,Surrey South Farnham SCITT,203,Teacher,South East,,,
EPA0129,University of Gloucestershire,203,Teacher,East Midlands; West Midlands; South West; ,,,
EPA0008,City and Guilds,196,Business Administrator,All,,,
EPA0008,City and Guilds,55,Chartered Manager Degree Apprenticeship,All,,,
EPA0008,City and Guilds,102,Healthcare Assistant Practitioner,All,,,
EPA0115,Titan Partnership Ltd,203,Teacher,West Midlands,,,
EPA0086,Babcock Engineering Assessments,188,Rail Infrastructure Operator,All,,,
EPA0033,NCFE/CACHE,196,Business Administrator,All,,,
EPA0042,Highfield Awarding Body for Compliance (HABC),189,"Passenger Transport Driver - bus, coach and rail",All,,,
EPA0132,University of Derby,25,Digital and Technology Solutions Professional,All,,,
EPA0131,Prepare to Achieve Ltd,119,Adult Care Worker,All,,,
EPA0133,Chartered Institute of Management Accountants (CIMA),117,Professional Accounting Taxation Technician,All,,,
EPA0134,"Merseyside, Cheshire and Greater Manchester Teacher Training Consortium",203,Teacher,North West,,,
EPA0061,Training Qualifications UK,103,Healthcare Support Worker,All,,,
EPA0061,Training Qualifications UK,151,Senior Healthcare Support Worker,All,,,
EPA0061,Training Qualifications UK,157,Hair Professional,All,,,
EPA0130,YMCA Awards,224,Leisure Duty Manager,All,,,
EPA0042,Highfield Awarding Body for Compliance (HABC),86,Aviation Ground Specialist,All,,,
EPA0042,Highfield Awarding Body for Compliance (HABC),87,Aviation Ground Operative,All,,,
EPA0042,Highfield Awarding Body for Compliance (HABC),123,Aviation Operations Manager,All,,,
EPA0079,Instructus,101,Retailer,All,,,
EPA0014,NOCN,195,Digital Engineering Technician,All,,,
EPA0028,Science Industry Assessment Service,250,Technician Scientist ,All,,,
EPA0028,Science Industry Assessment Service,251,Science Manufacturing Process Operative,All,,,
EPA0028,Science Industry Assessment Service,253,Science Industry Process/Plant Engineer ,All,,,
EPA0048,South West Councils,196,Business Administrator,All,,,
EPA0048,South West Councils,190,HR Consultant / Partner,All,,,
EPA0048,South West Councils,191,HR Support,All,,,
EPA0135,AuFait Training & Consultancy,190,HR Consultant / Partner,All,,,
EPA0135,AuFait Training & Consultancy,191,HR Support,All,,,
EPA0135,AuFait Training & Consultancy,138,Hospitality Supervisor,All,,,
EPA0137,Brockenhurst College,165,IS Business Analyst,All,,,
EPA0137,Brockenhurst College,93,Commis Chef,All,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
