StandardCode,Version,StandardName,StandardSectorCode,NotionalEndLevel,EffectiveFrom,LastDateStarts,EffectiveTo,URLLink,SectorSubjectAreaTier1,SectorSubjectAreaTier2,IntegratedDegreeStandard,Created_On,Created_By,Modified_On,Modified_By
135,1,Heavy Vehicle Service and Maintenance Technician,58,3,01-Aug-16,,,https://www.gov.uk/government/publications/apprenticeship-standard-heavy-vehicle-service-and-maintenance-technician,4,4.3,N,13-Sep-16,robinsonsar,13-Sep-16,robinsonsar
136,1,Bus and Coach Engineering Manager,58,4,01-Aug-16,,,https://www.gov.uk/government/publications/apprenticeship-standard-bus-and-coach-engineering-manager,4,4.3,N,13-Sep-16,robinsonsar,13-Sep-16,robinsonsar
137,1,Furniture Manufacturer,59,2,01-Aug-16,,,https://www.gov.uk/government/publications/apprenticeship-standard-furniture-manufacturer,4,4.2,N,13-Sep-16,robinsonsar,13-Sep-16,robinsonsar
138,1,Hospitality Supervisor,44,3,01-Aug-16,,,https://www.gov.uk/government/publications/apprenticeship-standard-hospitality-supervisor,7,7.4,N,13-Sep-16,robinsonsar,13-Sep-16,robinsonsar
139,1,Senior Chef Production Cooking,44,3,01-Aug-16,,,https://www.gov.uk/government/publications/apprenticeship-standard-senior-chef-production-cooking,7,7.4,N,13-Sep-16,robinsonsar,13-Sep-16,robinsonsar
140,1,Retail Team Leader,31,3,01-Aug-16,,,https://www.gov.uk/government/publications/apprenticeship-standard-retail-team-leader,7,7.1,N,13-Sep-16,robinsonsar,13-Sep-16,robinsonsar
141,1,Aviation Maintenance Mechanic (Military),2,2,01-Aug-16,,,https://www.gov.uk/government/publications/apprenticeship-standard-aviation-maintenance-mechanic-military,4,4.1,N,19-Sep-16,robinsonsar,19-Sep-16,robinsonsar
142,1,IT Technical Salesperson,7,3,01-Aug-16,,,https://www.gov.uk/government/publications/apprenticeship-standard-it-technical-salesperson-approved-for-delivery,6,6.1,N,19-Sep-16,robinsonsar,19-Sep-16,robinsonsar
143,1,Compliance / Risk Officer,9,3,01-Aug-16,,,https://www.gov.uk/government/publications/apprenticeship-standard-compliance-risk-officer,15,15.1,N,19-Sep-16,robinsonsar,19-Sep-16,robinsonsar
144,1,Senior Compliance / Risk Specialist,9,6,01-Aug-16,,,https://www.gov.uk/government/publications/apprenticeship-standard-senior-compliance-risk-specialist,15,15.1,N,19-Sep-16,robinsonsar,19-Sep-16,robinsonsar
145,1,Sports Turf Operative,60,2,01-Aug-16,,,https://www.gov.uk/government/publications/apprenticeship-standard-sports-turf-operative,3,3.2,N,19-Sep-16,robinsonsar,19-Sep-16,robinsonsar
146,1,Maintenance and Operations Engineering Technician,8,3,01-Aug-16,,,https://www.gov.uk/government/publications/apprenticeship-standard-maintenance-operations-engineering-technician,5,5.2,N,02-Nov-16,robinsonsar,02-Nov-16,robinsonsar
147,1,Retail Manager,31,4,01-Aug-16,,,https://www.gov.uk/government/publications/apprenticeship-standard-retail-manager,7,7.1,N,24-Oct-16,fisherk,24-Oct-16,fisherk
148,1,Advanced Credit Controller / Debt Collection Specialist,9,3,01-Aug-16,,,https://www.gov.uk/government/publications/apprenticeship-standard-advanced-credit-controller-debt-collection-specialist,15,15.1,N,02-Nov-16,robinsonsar,02-Nov-16,robinsonsar
149,1,Advanced Dairy Technologist,5,5,01-Aug-16,,,https://www.gov.uk/government/publications/apprenticeship-standard-advanced-dairy-technologist-approved-for-delivery,4,4.3,N,02-Nov-16,robinsonsar,02-Nov-16,robinsonsar
150,1,Healthcare Science Associate,46,4,01-Aug-16,,,https://www.gov.uk/government/publications/apprenticeship-standard-healthcare-science-associate,1,1.3,N,02-Nov-16,robinsonsar,02-Nov-16,robinsonsar
151,1,Senior Healthcare Support Worker,46,3,01-Aug-16,,,https://www.gov.uk/government/publications/apprenticeship-standard-senior-healthcare-support-worker,1,1.3,N,02-Nov-16,robinsonsar,02-Nov-16,robinsonsar
152,1,Advanced Butcher,23,3,01-Aug-16,,,https://www.gov.uk/government/publications/apprenticeship-standard-advanced-butcher,7,7.4,N,05-Nov-16,robinsonsar,05-Nov-16,robinsonsar
153,1,Financial Adviser,9,4,01-Nov-16,,,https://www.gov.uk/government/publications/apprenticeship-standard-financial-adviser-approved-for-delivery,15,15.1,N,06-Dec-16,robinsonsar,13-Dec-16,robinsonsar
154,1,Software Development Technician,7,3,01-Nov-16,,,https://www.gov.uk/government/publications/apprenticeship-standard-software-development-technician,6,6.1,N,14-Dec-16,robinsonsar,14-Dec-16,robinsonsar
155,1,Unified Communications Technician,7,3,01-Nov-16,,,https://www.gov.uk/government/publications/apprenticeship-standard-unified-communications-technician,6,6.1,N,14-Dec-16,robinsonsar,14-Dec-16,robinsonsar
156,1,Associate Ambulance Practitioner,62,4,01-Aug-16,,,https://www.gov.uk/government/publications/apprenticeship-standard-associate-ambulance-practitioner,1,1.3,N,21-Dec-16,guinivas,21-Dec-16,guinivas
157,1,Hair Professional,63,2,01-Nov-16,,,https://www.gov.uk/government/publications/apprenticeship-standard-hair-professional,7,7.3,N,21-Dec-16,fisherk,21-Dec-16,fisherk
158,1,Spectacle Maker,64,3,01-Nov-16,,,https://www.gov.uk/government/publications/apprenticeship-standard-spectacle-maker,1,1.3,N,21-Dec-16,fisherk,21-Dec-16,fisherk
159,1,Event Assistant,61,3,01-Jan-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-event-assistant,9,9.2,N,18-Jan-17,robinsonsar,18-Jan-17,robinsonsar
160,1,Composites Technician,65,3,01-Feb-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-composites-technician,4,4.2,N,13-Feb-17,robinsonsar,13-Feb-17,robinsonsar
161,1,Power Engineer,8,7,01-Feb-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-power-engineer-degree-apprenticeship,4,4.1,N,15-Feb-17,robinsonsar,15-Feb-17,robinsonsar
162,1,Facilities Management Supervisor,66,3,01-Feb-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-facilities-management-supervisor,7,7.3,N,24-Feb-17,robinsonsar,24-Feb-17,robinsonsar
163,1,Nuclear Technician,15,5,01-Mar-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-nuclear-technician-approved-for-delivery,4,4.2,N,07-Apr-17,robinsonsar,07-Apr-17,robinsonsar
164,1,Building Services Engineering Installer,67,2,01-Mar-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-building-services-engineering-installer,5,5.2,N,07-Apr-17,robinsonsar,07-Apr-17,robinsonsar
165,1,IS Business Analyst,7,4,01-Apr-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-is-business-analyst-approved-for-delivery,6,6.1,N,07-Apr-17,robinsonsar,07-Apr-17,robinsonsar
166,1,Postgraduate Engineer,68,7,01-Apr-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-post-graduate-engineer-approved-for-delivery,4,4.1,N,07-Apr-17,robinsonsar,07-Apr-17,robinsonsar
167,1,Engineering Technician,68,3,01-Aug-14,,,https://www.gov.uk/government/publications/apprenticeship-standard-engineering-technician-approved-for-delivery,4,4.1,N,07-Apr-17,robinsonsar,14-Apr-17,vijaydek
168,1,Healthcare Science Practitioner,46,6,01-Apr-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-healthcare-science-practitioner-degree-apprenticeship,1,1.3,N,07-Apr-17,robinsonsar,07-Apr-17,robinsonsar
169,1,Chef De Partie,44,3,01-Apr-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-chef-de-partie,7,7.1,N,07-Apr-17,robinsonsar,07-Apr-17,robinsonsar
170,1,Registered Nurse,69,6,01-May-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-registered-nurse-degree-apprenticeship,1,1.2,N,18-May-17,robinsonsar,18-May-17,robinsonsar
171,1,Construction Steel Fixer,55,2,01-May-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-steel-fixer,4,4.1,N,18-May-17,robinsonsar,18-May-17,robinsonsar
172,1,Fishmonger,5,2,01-May-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-fishmonger,4,4.2,N,18-May-17,robinsonsar,18-May-17,robinsonsar
173,1,Building Services Engineering Craftsperson,55,3,01-May-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-building-services-engineering-craftsperson,5,5.2,N,06-Jun-17,robinsonsar,06-Jun-17,robinsonsar
174,1,Junior Content Producer,70,3,01-May-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-junior-content-producer,9,9.3,N,06-Jun-17,robinsonsar,06-Jun-17,robinsonsar
175,1,Mineral Processing Mobile and Static Plant Operator,71,2,01-May-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-mineral-processing-mobile-and-static-plant-operator,4,4.2,N,06-Jun-17,robinsonsar,06-Jun-17,robinsonsar
176,1,Accident Repair Technician,71,3,01-May-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-accident-repair-technician,4,4.3,N,06-Jun-17,robinsonsar,06-Jun-17,robinsonsar
177,1,Baker,44,2,01-Jun-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-bakery,4,4.2,N,12-Jun-17,robinsonsar,12-Jun-17,robinsonsar
178,1,Building Services Design Technician,55,3,01-Jun-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-building-services-design-technician,4,4.3,N,12-Jun-17,robinsonsar,12-Jun-17,robinsonsar
179,1,Animal Technologist,72,3,01-Jun-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-animal-technologist,3,3.3,N,12-Jun-17,robinsonsar,12-Jun-17,robinsonsar
180,1,Arborist,73,2,01-Jun-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-arborist,3,3.2,N,28-Jun-17,guinivas,28-Jun-17,guinivas
181,1,Horticulture and Landscape Operative,73,2,01-Jun-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-horticulture-and-landscape-operative,3,3.2,N,28-Jun-17,guinivas,28-Jun-17,guinivas
182,1,Forest Operative,73,2,01-Jun-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-forest-operative,3,3.2,N,28-Jun-17,guinivas,28-Jun-17,guinivas
183,1,Bespoke Saddler,70,3,01-Jun-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-bespoke-saddler,4,4.2,N,28-Jun-17,guinivas,28-Jun-17,guinivas
184,1,Food Industry Technical Professional,71,6,01-Jun-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-food-industry-technical-professional-degree-apprenticeship,2,2.1,N,28-Jun-17,guinivas,28-Jun-17,guinivas
185,1,Building Services Engineering Ductwork Craftsperson,55,3,01-Aug-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-building-services-engineering-ductwork-craftsperson,5,5.2,N,18-Aug-17,fisherk,18-Aug-17,fisherk
186,1,Project Controls Technician,71,3,01-Aug-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-project-controls-technician,4,4.1,N,18-Aug-17,fisherk,18-Aug-17,fisherk
187,1,Metrology Technician,72,3,01-Aug-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-metrology-technician,4,4.2,N,18-Aug-17,fisherk,18-Aug-17,fisherk
188,1,Rail Infrastructure Operator,48,2,01-Aug-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-rail-infrastructure-operator,4,4.3,N,18-Aug-17,fisherk,18-Aug-17,fisherk
189,1,"Passenger Transport Driver - bus, coach and rail",48,2,01-Aug-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-passenger-transport-driver-bus-coach-and-rail,4,4.3,N,18-Aug-17,fisherk,18-Aug-17,fisherk
190,1,HR Consultant / Partner,43,5,01-Aug-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-hr-consultantpartner,15,15.2,N,18-Aug-17,fisherk,18-Aug-17,fisherk
191,1,HR Support,43,3,01-Aug-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-hr-support,15,15.2,N,01-Sep-17,fisherk,01-Sep-17,fisherk
192,1,Building Services Engineering Ductwork Installer,55,2,12-Sep-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-building-services-engineering-ductwork-installer,5,5.2,N,13-Sep-17,fisherk,13-Sep-17,fisherk
193,1,Building Services Engineering Service and Maintenance Engineer,55,3,12-Sep-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-building-services-engineering-service-and-maintenance-engineer,5,5.2,N,13-Sep-17,fisherk,13-Sep-17,fisherk
194,1,Building Services Engineering Ventilation Hygiene Technician,55,3,12-Sep-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-ventilation-hygiene-technician,5,5.2,N,14-Sep-17,fisherk,14-Sep-17,fisherk
195,1,Digital Engineering Technician,7,3,18-Sep-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-digital-engineering-technician,5,5.2,N,20-Sep-17,FISHERK,20-Sep-17,FISHERK
196,1,Business Administrator,75,3,18-Sep-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-business-administrator,15,15.2,N,20-Sep-17,FISHERK,20-Sep-17,FISHERK
197,1,Organ Builder,71,3,26-Sep-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-organ-builder,4,4.2,N,29-Sep-17,FISHERK,29-Sep-17,FISHERK
198,1,Building Services Design Engineer,55,6,04-Oct-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-building-services-design-engineer,5,5.2,Y,19-Oct-17,FISHERK,19-Oct-17,FISHERK
199,1,Civil Engineering Technician,55,3,04-Oct-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-civil-engineering-technician,5,5.2,N,19-Oct-17,FISHERK,19-Oct-17,FISHERK
200,1,Civil Engineer,55,6,04-Oct-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-civil-engineer-degree-approved-for-delivery,5,5.2,Y,19-Oct-17,FISHERK,19-Oct-17,FISHERK
201,1,Process Automation Engineer,68,7,16-Oct-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-process-automation-engineer-degree-apprenticeship,4,4.1,Y,19-Oct-17,FISHERK,19-Oct-17,FISHERK
202,1,Engineering Construction Pipefitter,68,3,16-Oct-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-engineering-construction-pipefitter,4,4.1,N,19-Oct-17,FISHERK,19-Oct-17,FISHERK
203,1,Teacher,16,6,19-Oct-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-teacher-approved-for-delivery,13,13.1,N,30-Oct-17,FISHERK,30-Oct-17,FISHERK
204,1,Senior Leader Master's Degree,,,,,,,,,,,,,
204a,1,Accountancy Taxation Professional,52,7,07-Nov-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-professional-accountant,15,15.1,N,08-Nov-17,FISHERK,08-Nov-17,FISHERK
205,1,Senior Insurance Professional,27,6,07-Nov-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-senior-insurance-professional,15,15.1,N,08-Nov-17,FISHERK,08-Nov-17,FISHERK
206,1,Passenger transport onboard and station team member,48,2,14-Nov-17,,,https://www.gov.uk/government/publications/apprenticeship-standard-passenger-transport-onboard-station-team-member,4,4.3,N,15-Nov-17,FISHERK,15-Nov-17,FISHERK
207,1,Non-Destructive Testing Engineer,37,6,20-Nov-17,,,https://www.instituteforapprenticeships.org/apprenticeship-standards/non-destructive-testing-engineer/,4,4.2,Y,22-Nov-17,FISHERK,22-Nov-17,FISHERK
208,1,Nursing Associate,69,5,20-Nov-17,,,https://www.instituteforapprenticeships.org/apprenticeship-standards/nursing-associate/,1,1.3,N,22-Nov-17,FISHERK,22-Nov-17,FISHERK
209,1,Supply Chain Practitioner,51,3,24-Nov-17,,,https://www.instituteforapprenticeships.org/apprenticeship-standards/supply-chain-practitioner-fast-moving-consumer-good-previously-operatormanager/,7,7.2,N,28-Nov-17,FISHERK,28-Nov-17,FISHERK
210,1,Motor Finance Specialist,9,3,04-Dec-17,,,https://www.instituteforapprenticeships.org/apprenticeship-standards/motor-finance-specialist/,4,4.3,N,05-Dec-17,FISHERK,05-Dec-17,FISHERK
211,1,Probate Technician,18,4,06-Dec-17,,,https://www.instituteforapprenticeships.org/apprenticeship-standards/probate-technician/,15,15.5,N,07-Dec-17,FISHERK,07-Dec-17,FISHERK
212,1,"Electrical, Electronic Product Service and Installation Engineer",55,3,06-Dec-17,,,https://www.instituteforapprenticeships.org/apprenticeship-standards/electrical-electronic-product-service-and-installation-engineer/,4,4.1,N,07-Dec-17,FISHERK,07-Dec-17,FISHERK
213,1,Financial Services Professional,9,6,06-Dec-17,,,https://www.instituteforapprenticeships.org/apprenticeship-standards/financial-services-professional/,15,15.1,N,07-Dec-17,FISHERK,07-Dec-17,FISHERK
214,1,Passenger Transport Operations Manager,48,4,20-Dec-17,,,https://www.instituteforapprenticeships.org/apprenticeship-standards/passenger-transport-operations-manager/,4,4.3,N,21-Dec-17,FISHERK,21-Dec-17,FISHERK
215,1,Community Activator Coach,25,2,15-Dec-17,,,https://www.instituteforapprenticeships.org/apprenticeship-standards/community-activator-coach/,8,8.1,N,21-Dec-17,FISHERK,21-Dec-17,FISHERK
216,1,Electrical Power Networks Engineer,71,4,20-Dec-17,,,https://www.instituteforapprenticeships.org/apprenticeship-standards/electrical-power-networks-engineer-previously-power-networks-engineer/,4,4.1,N,21-Dec-17,FISHERK,21-Dec-17,FISHERK
217,1,Recruitment Consultant,75,3,20-Dec-17,,,https://www.instituteforapprenticeships.org/apprenticeship-standards/recruitment-consultant/,15,15.2,N,21-Dec-17,FISHERK,21-Dec-17,FISHERK
218,1,Recruitment Resourcer,75,2,20-Dec-17,,,https://www.instituteforapprenticeships.org/apprenticeship-standards/recruitment-resourcer/,15,15.2,N,21-Dec-17,FISHERK,21-Dec-17,FISHERK
219,1,Lifting Technician,55,2,01-Dec-17,,,https://www.instituteforapprenticeships.org/apprenticeship-standards/lifting-technician/,5,5.2,N,21-Dec-17,FISHERK,21-Dec-17,FISHERK
220,1,High Speed Rail and Infrastructure Technician,30,4,27-Dec-17,,,https://www.instituteforapprenticeships.org/apprenticeship-standards/high-speed-rail-infrastructure-technician/,4,4.3,N,02-Jan-18,FISHERK,02-Jan-18,FISHERK
221,1,Laboratory Scientist,4,6,03-Jan-18,,,https://www.instituteforapprenticeships.org/apprenticeship-standards/laboratory-scientist-new/,4,4.2,N,05-Jan-18,FISHERK,05-Jan-18,FISHERK
222,1,Commercial Procurement and Supply,29,4,22-Dec-17,,,https://www.instituteforapprenticeships.org/apprenticeship-standards/commercial-procurement-and-supply-formerly-public-sector-commercial-professional/,15,15.1,N,05-Jan-18,FISHERK,05-Jan-18,FISHERK
223,1,Creative Venue Technician,,,,,,,,,,,,,
224,1,Leisure Duty Manager,,,,,,,,,,,,,
225,1,Plumbing and Domestic Heating Technician,55,3,19-Jan-18,,,https://www.instituteforapprenticeships.org/apprenticeship-standards/plumbing-and-domestic-heating-technician/,5,5.2,N,19-Jan-18,KFISHER,19-Jan-18,KFISHER
226,1,Marine Engineer,68,3,19-Jan-18,,,https://www.instituteforapprenticeships.org/apprenticeship-standards/marine-engineer/,4,4.1,N,19-Jan-18,KFISHER,19-Jan-18,KFISHER
227,1,Nuclear Operative,15,2,22-Jan-18,,,https://www.instituteforapprenticeships.org/apprenticeship-standards/nuclear-operative/,4,4.1,N,23-Jan-18,KFISHER,23-Jan-18,KFISHER
 ,1,Leisure Duty Manager,75,3,26-Jan-18,,,https://www.instituteforapprenticeships.org/apprenticeship-standards/leisure-duty-manager/,15,15.3,N,30-Jan-18,KFISHER,30-Jan-18,KFISHER
 , ,Creative Venue Technician,70,3,26-Jan-18,,,https://www.instituteforapprenticeships.org/apprenticeship-standards/creative-venue-technician/,9,9.2,N,30-Jan-18,KFISHER,30-Jan-18,KFISHER
230,1,Tunnelling Operative,55,2,26-Jan-18,,,https://www.instituteforapprenticeships.org/apprenticeship-standards/tunnelling-operative/,5,5.2,N,30-Jan-18,KFISHER,30-Jan-18,KFISHER
231,1,Policy Officer,75,4,02-Feb-18,,,https://www.instituteforapprenticeships.org/apprenticeship-standards/policy-officer/,15,15.2,N,07-Feb-18,KFISHER,07-Feb-18,KFISHER
232,1,School Business Professional,75,4,05-Feb-18,,,https://www.instituteforapprenticeships.org/apprenticeship-standards/school-business-professional/,15,15.2,N,07-Feb-18,KFISHER,07-Feb-18,KFISHER
250,,Technician Scientist ,,,,,,,,,,,,,
251,,Science Manufacturing Process Operative,,,,,,,,,,,,,
253,,Science Industry Process/Plant Engineer ,,,,,,,,,,,,,
254,,Laboratory Scientist (Degree) ,,,,,,,,,,,,,
