"","assessment_organisation_standard_guide","assessment_organisation","assessment_organisations_standard_code","assessment_organisation_delivery_area","start_date","end_date"
"631",631,"EPA0022","104",1,NA,NA
"632",632,"EPA0022","104",8,NA,NA
"633",633,"EPA0022","104",1,NA,NA
"634",634,"EPA0022","104",1,NA,NA
"635",635,"EPA0022","104",1,NA,NA
"636",636,"EPA0022","104",1,NA,NA
"637",637,"EPA0022","104",1,NA,NA
"638",638,"EPA0022","104",NA,NA,NA
"639",639,"EPA0022","104",1,NA,NA
"640",640,"EPA0022","104",1,NA,NA
"641",641,"EPA0022","105",1,NA,NA
"642",642,"EPA0022","105",1,NA,NA
"643",643,"EPA0022","105",1,NA,NA
"644",644,"EPA0022","105",1,NA,NA
"645",645,"EPA0022","105",1,NA,NA
"646",646,"EPA0022","105",1,NA,NA
"647",647,"EPA0022","105",1,NA,NA
"648",648,"EPA0022","105",1,NA,NA
"649",649,"EPA0022","105",1,NA,NA
"650",650,"EPA0022","105",1,NA,NA
"651",651,"EPA0022","105",8,NA,NA
"652",652,"EPA0022","105",1,NA,NA
"653",653,"EPA0022","105",1,NA,NA
"654",654,"EPA0022","105",1,NA,NA
"655",655,"EPA0022","105",1,NA,NA
"656",656,"EPA0022","105",1,NA,NA
"657",657,"EPA0022","105",1,NA,NA
"658",658,"EPA0022","105",1,NA,NA
"659",659,"EPA0022","105",1,NA,NA
"660",660,"EPA0022","105",1,NA,NA
"661",661,"EPA0022","140",1,NA,NA
"662",662,"EPA0022","140",1,NA,NA
"663",663,"EPA0022","140",1,NA,NA
"664",664,"EPA0022","140",1,NA,NA
"665",665,"EPA0022","140",1,NA,NA
"666",666,"EPA0022","140",1,NA,NA
"667",667,"EPA0022","140",1,NA,NA
"668",668,"EPA0022","140",1,NA,NA
"669",669,"EPA0022","140",1,NA,NA
"670",670,"EPA0022","140",1,NA,NA
"671",671,"EPA0022","140",1,NA,NA
"672",672,"EPA0022","140",1,NA,NA
"673",673,"EPA0022","140",1,NA,NA
"674",674,"EPA0022","140",1,NA,NA
"675",675,"EPA0022","118",1,NA,NA
"676",676,"EPA0022","118",1,NA,NA
"677",677,"EPA0022","118",1,NA,NA
"678",678,"EPA0022","118",1,NA,NA
"679",679,"EPA0022","118",1,NA,NA
"680",680,"EPA0022","118",1,NA,NA
"681",681,"EPA0022","118",1,NA,NA
"682",682,"EPA0022","118",1,NA,NA
"683",683,"EPA0022","118",1,NA,NA
"684",684,"EPA0022","118",1,NA,NA
"685",685,"EPA0022","118",1,NA,NA
"686",686,"EPA0022","101",1,NA,NA
"687",687,"EPA0022","101",1,NA,NA
"688",688,"EPA0022","101",1,NA,NA
"689",689,"EPA0022","101",1,NA,NA
"690",690,"EPA0022","101",1,NA,NA
"691",691,"EPA0022","101",1,NA,NA
"692",692,"EPA0022","101",1,NA,NA
"693",693,"EPA0022","101",1,NA,NA
"694",694,"EPA0022","101",1,NA,NA
"695",695,"EPA0022","101",1,NA,NA
"696",696,"EPA0022","101",1,NA,NA
"697",697,"EPA0022","101",1,NA,NA
"698",698,"EPA0022","101",1,NA,NA
"699",699,"EPA0022","101",1,NA,NA
"700",700,"EPA0022","119",1,NA,NA
"701",701,"EPA0022","119",1,NA,NA
"702",702,"EPA0022","119",1,NA,NA
"703",703,"EPA0022","119",1,NA,NA
"704",704,"EPA0022","119",1,NA,NA
"705",705,"EPA0022","119",1,NA,NA
"706",706,"EPA0022","119",1,NA,NA
"707",707,"EPA0022","119",1,NA,NA
"708",708,"EPA0022","119",1,NA,NA
"709",709,"EPA0022","119",1,NA,NA
"710",710,"EPA0022","119",1,NA,NA
"711",711,"EPA0022","119",1,NA,NA
"712",712,"EPA0022","138",1,NA,NA
"713",713,"EPA0022","138",1,NA,NA
"714",714,"EPA0022","138",1,NA,NA
"715",715,"EPA0022","138",1,NA,NA
"716",716,"EPA0022","138",1,NA,NA
"717",717,"EPA0022","138",1,NA,NA
"718",718,"EPA0022","138",1,NA,NA
"719",719,"EPA0022","138",1,NA,NA
"720",720,"EPA0022","138",1,NA,NA
"721",721,"EPA0022","138",1,NA,NA
"722",722,"EPA0022","138",1,NA,NA
"723",723,"EPA0022","138",1,NA,NA
"724",724,"EPA0022","151",1,NA,NA
"725",725,"EPA0022","151",1,NA,NA
"726",726,"EPA0022","151",1,NA,NA
"727",727,"EPA0022","151",1,NA,NA
"728",728,"EPA0022","151",1,NA,NA
"729",729,"EPA0022","151",1,NA,NA
"730",730,"EPA0022","151",1,NA,NA
"731",731,"EPA0022","151",1,NA,NA
"732",732,"EPA0022","36",1,NA,NA
"733",733,"EPA0022","36",1,NA,NA
"734",734,"EPA0022","36",1,NA,NA
"735",735,"EPA0022","36",1,NA,NA
"736",736,"EPA0022","36",1,NA,NA
"737",737,"EPA0022","36",1,NA,NA
"738",738,"EPA0022","36",1,NA,NA
"739",739,"EPA0022","139",1,NA,NA
"740",740,"EPA0022","139",1,NA,NA
"741",741,"EPA0022","139",1,NA,NA
"742",742,"EPA0022","139",1,NA,NA
"743",743,"EPA0022","139",1,NA,NA
"744",744,"EPA0022","139",1,NA,NA
"745",745,"EPA0022","139",1,NA,NA
"746",746,"EPA0022","139",1,NA,NA
"747",747,"EPA0023","59",1,NA,NA
"748",748,"EPA0023","59",1,NA,NA
"749",749,"EPA0023","59",1,NA,NA
"750",750,"EPA0023","59",1,NA,NA
"751",751,"EPA0023","134",1,NA,NA
"752",752,"EPA0023","135",1,NA,NA
"753",753,"EPA0023","135",1,NA,NA
"754",754,"EPA0024","93",1,NA,NA
"755",755,"EPA0024","93",1,NA,NA
"756",756,"EPA0024","93",1,NA,NA
"757",757,"EPA0024","93",1,NA,NA
"758",758,"EPA0024","93",1,NA,NA
"759",759,"EPA0024","93",1,NA,NA
"760",760,"EPA0024","93",1,NA,NA
"761",761,"EPA0024","93",1,NA,NA
"762",762,"EPA0024","93",1,NA,NA
"763",763,"EPA0024","93",1,NA,NA
"764",764,"EPA0024","93",1,NA,NA
"765",765,"EPA0024","93",1,NA,NA
"766",766,"EPA0024","93",1,NA,NA
"767",767,"EPA0024","96",1,NA,NA
"768",768,"EPA0024","96",1,NA,NA
"769",769,"EPA0024","96",1,NA,NA
"770",770,"EPA0024","96",1,NA,NA
"771",771,"EPA0024","96",1,NA,NA
"772",772,"EPA0024","96",1,NA,NA
"773",773,"EPA0024","96",1,NA,NA
"774",774,"EPA0024","96",1,NA,NA
"775",775,"EPA0024","96",1,NA,NA
"776",776,"EPA0024","96",1,NA,NA
"777",777,"EPA0024","96",1,NA,NA
"778",778,"EPA0024","96",NA,NA,NA
"779",779,"EPA0024","101",1,NA,NA
"780",780,"EPA0024","101",1,NA,NA
"781",781,"EPA0024","101",1,NA,NA
"782",782,"EPA0024","101",1,NA,NA
"783",783,"EPA0024","101",1,NA,NA
"784",784,"EPA0024","101",1,NA,NA
"785",785,"EPA0024","101",1,NA,NA
"786",786,"EPA0024","101",1,NA,NA
"787",787,"EPA0024","101",1,NA,NA
"788",788,"EPA0024","101",1,NA,NA
"789",789,"EPA0024","101",1,NA,NA
"790",790,"EPA0024","101",1,NA,NA
"791",791,"EPA0024","101",1,NA,NA
"792",792,"EPA0024","101",1,NA,NA
"793",793,"EPA0024","138",1,NA,NA
"794",794,"EPA0024","138",1,NA,NA
"795",795,"EPA0024","138",1,NA,NA
"796",796,"EPA0024","138",1,NA,NA
"797",797,"EPA0024","138",1,NA,NA
"798",798,"EPA0024","138",1,NA,NA
"799",799,"EPA0024","138",1,NA,NA
"800",800,"EPA0024","138",1,NA,NA
"801",801,"EPA0024","138",1,NA,NA
"802",802,"EPA0024","138",1,NA,NA
"803",803,"EPA0024","138",1,NA,NA
"804",804,"EPA0024","138",1,NA,NA
"805",805,"EPA0024","139",1,NA,NA
"806",806,"EPA0024","139",1,NA,NA
"807",807,"EPA0024","139",1,NA,NA
"808",808,"EPA0024","139",1,NA,NA
"809",809,"EPA0024","139",1,NA,NA
"810",810,"EPA0024","139",1,NA,NA
"811",811,"EPA0024","139",1,NA,NA
"812",812,"EPA0024","139",1,NA,NA
"813",813,"EPA0024","140",1,NA,NA
"814",814,"EPA0024","140",1,NA,NA
"815",815,"EPA0024","140",1,NA,NA
"816",816,"EPA0024","140",1,NA,NA
"817",817,"EPA0024","140",1,NA,NA
"818",818,"EPA0024","140",1,NA,NA
"819",819,"EPA0024","140",1,NA,NA
"820",820,"EPA0024","140",1,NA,NA
"821",821,"EPA0024","140",1,NA,NA
"822",822,"EPA0024","140",1,NA,NA
"823",823,"EPA0024","140",1,NA,NA
"824",824,"EPA0024","140",1,NA,NA
"825",825,"EPA0024","140",1,NA,NA
"826",826,"EPA0024","140",1,NA,NA
"827",827,"EPA0024","105",1,NA,NA
"828",828,"EPA0024","105",1,NA,NA
"829",829,"EPA0024","105",1,NA,NA
"830",830,"EPA0024","105",1,NA,NA
"831",831,"EPA0024","105",1,NA,NA
"832",832,"EPA0024","105",1,NA,NA
"833",833,"EPA0024","105",1,NA,NA
"834",834,"EPA0024","105",1,NA,NA
"835",835,"EPA0024","105",1,NA,NA
"836",836,"EPA0024","105",1,NA,NA
"837",837,"EPA0024","105",8,NA,NA
"838",838,"EPA0024","105",1,NA,NA
"839",839,"EPA0024","105",1,NA,NA
"840",840,"EPA0024","105",1,NA,NA
"841",841,"EPA0024","105",1,NA,NA
"842",842,"EPA0024","105",1,NA,NA
"843",843,"EPA0024","105",1,NA,NA
"844",844,"EPA0024","105",1,NA,NA
"845",845,"EPA0024","105",1,NA,NA
"846",846,"EPA0024","105",1,NA,NA
"847",847,"EPA0024","147",1,NA,NA
"848",848,"EPA0024","147",1,NA,NA
"849",849,"EPA0024","147",1,NA,NA
"850",850,"EPA0024","147",1,NA,NA
"851",851,"EPA0024","147",1,NA,NA
"852",852,"EPA0024","147",1,NA,NA
"853",853,"EPA0024","147",1,NA,NA
"854",854,"EPA0024","147",1,NA,NA
"855",855,"EPA0024","147",1,NA,NA
"856",856,"EPA0024","147",1,NA,NA
"857",857,"EPA0024","147",1,NA,NA
"858",858,"EPA0025","73",1,NA,NA
"859",859,"EPA0026","55",1,NA,NA
"860",860,"EPA0026","55",1,NA,NA
"861",861,"EPA0026","55",1,NA,NA
"862",862,"EPA0026","55",1,NA,NA
"863",863,"EPA0026","104",1,NA,NA
"864",864,"EPA0026","104",1,NA,NA
"865",865,"EPA0026","104",1,NA,NA
"866",866,"EPA0026","104",1,NA,NA
"867",867,"EPA0026","104",1,NA,NA
"868",868,"EPA0026","104",1,NA,NA
"869",869,"EPA0026","104",1,NA,NA
"870",870,"EPA0026","104",1,NA,NA
"871",871,"EPA0026","104",8,NA,NA
"872",872,"EPA0026","104",1,NA,NA
"873",873,"EPA0026","104",1,NA,NA
"874",874,"EPA0026","104",1,NA,NA
"875",875,"EPA0026","104",1,NA,NA
"876",876,"EPA0026","104",1,NA,NA
"877",877,"EPA0026","104",NA,NA,NA
"878",878,"EPA0026","104",1,NA,NA
"879",879,"EPA0026","104",1,NA,NA
"880",880,"EPA0026","105",1,NA,NA
"881",881,"EPA0026","105",1,NA,NA
"882",882,"EPA0026","105",1,NA,NA
"883",883,"EPA0026","105",1,NA,NA
"884",884,"EPA0026","105",1,NA,NA
"885",885,"EPA0026","105",1,NA,NA
"886",886,"EPA0026","105",1,NA,NA
"887",887,"EPA0026","105",1,NA,NA
"888",888,"EPA0026","105",1,NA,NA
"889",889,"EPA0026","105",1,NA,NA
"890",890,"EPA0026","105",8,NA,NA
"891",891,"EPA0026","105",1,NA,NA
"892",892,"EPA0026","105",1,NA,NA
"893",893,"EPA0026","105",1,NA,NA
"894",894,"EPA0026","105",1,NA,NA
"895",895,"EPA0026","105",1,NA,NA
"896",896,"EPA0026","105",1,NA,NA
"897",897,"EPA0026","105",1,NA,NA
"898",898,"EPA0026","105",1,NA,NA
"899",899,"EPA0026","105",1,NA,NA
"900",900,"EPA0027","5",1,NA,NA
"901",901,"EPA0028","14",1,NA,NA
"902",902,"EPA0028","14",1,NA,NA
"903",903,"EPA0028","14",1,NA,NA
"904",904,"EPA0028","44",1,NA,NA
"905",905,"EPA0028","44",1,NA,NA
"906",906,"EPA0028","15",1,NA,NA
"907",907,"EPA0028","15",1,NA,NA
"908",908,"EPA0028","45",1,NA,NA
"909",909,"EPA0028","45",1,NA,NA
"910",910,"EPA0029","28",1,NA,NA
"911",911,"EPA0029","28",1,NA,NA
"912",912,"EPA0029","28",1,NA,NA
"913",913,"EPA0029","28",1,NA,NA
"914",914,"EPA0029","31",1,NA,NA
"915",915,"EPA0029","31",1,NA,NA
"916",916,"EPA0029","31",1,NA,NA
"917",917,"EPA0029","31",1,NA,NA
"918",918,"EPA0029","7",1,NA,NA
"919",919,"EPA0029","7",1,NA,NA
"920",920,"EPA0029","7",1,NA,NA
"921",921,"EPA0030","25",1,NA,NA
"922",922,"EPA0030","25",6,NA,NA
"923",923,"EPA0030","25",9,NA,NA
"924",924,"EPA0030","25",1,NA,NA
"925",925,"EPA0030","25",1,NA,NA
"926",926,"EPA0030","25",5,NA,NA
"927",927,"EPA0030","25",1,NA,NA
"928",928,"EPA0030","25",1,NA,NA
"929",929,"EPA0030","25",1,NA,NA
"930",930,"EPA0030","25",1,NA,NA
"931",931,"EPA0030","25",1,NA,NA
"932",932,"EPA0030","25",1,NA,NA
"933",933,"EPA0031","117",1,NA,NA
"934",934,"EPA0031","117",1,NA,NA
"935",935,"EPA0031","117",1,NA,NA
"936",936,"EPA0031","117",1,NA,NA
"937",937,"EPA0031","117",1,NA,NA
"938",938,"EPA0031","133",1,NA,NA
"939",939,"EPA0031","133",1,NA,NA
"940",940,"EPA0032","104",1,NA,NA
"941",941,"EPA0032","104",1,NA,NA
"942",942,"EPA0032","104",1,NA,NA
"943",943,"EPA0032","104",1,NA,NA
"944",944,"EPA0032","104",1,NA,NA
"945",945,"EPA0032","104",1,NA,NA
"946",946,"EPA0032","104",1,NA,NA
"947",947,"EPA0032","104",1,NA,NA
"948",948,"EPA0032","104",8,NA,NA
"949",949,"EPA0032","104",1,NA,NA
"950",950,"EPA0032","104",1,NA,NA
"951",951,"EPA0032","104",1,NA,NA
"952",952,"EPA0032","104",1,NA,NA
"953",953,"EPA0032","104",1,NA,NA
"954",954,"EPA0032","104",NA,NA,NA
"955",955,"EPA0032","104",1,NA,NA
"956",956,"EPA0032","104",1,NA,NA
"957",957,"EPA0032","105",1,NA,NA
"958",958,"EPA0032","105",1,NA,NA
"959",959,"EPA0032","105",1,NA,NA
"960",960,"EPA0032","105",1,NA,NA
"961",961,"EPA0032","105",1,NA,NA
"962",962,"EPA0032","105",1,NA,NA
"963",963,"EPA0032","105",1,NA,NA
"964",964,"EPA0032","105",1,NA,NA
"965",965,"EPA0032","105",1,NA,NA
"966",966,"EPA0032","105",1,NA,NA
"967",967,"EPA0032","105",8,NA,NA
"968",968,"EPA0032","105",1,NA,NA
"969",969,"EPA0032","105",1,NA,NA
"970",970,"EPA0032","105",1,NA,NA
"971",971,"EPA0032","105",1,NA,NA
"972",972,"EPA0032","105",1,NA,NA
"973",973,"EPA0032","105",1,NA,NA
"974",974,"EPA0032","105",1,NA,NA
"975",975,"EPA0032","105",1,NA,NA
"976",976,"EPA0032","105",1,NA,NA
"977",977,"EPA0033","122",1,NA,NA
"978",978,"EPA0033","122",1,NA,NA
"979",979,"EPA0033","122",1,NA,NA
"980",980,"EPA0033","122",1,NA,NA
"981",981,"EPA0033","122",1,NA,NA
"982",982,"EPA0033","122",1,NA,NA
"983",983,"EPA0033","122",1,NA,NA
"984",984,"EPA0033","122",1,NA,NA
"985",985,"EPA0033","122",1,NA,NA
"986",986,"EPA0033","122",1,NA,NA
"987",987,"EPA0033","122",1,NA,NA
"988",988,"EPA0033","122",1,NA,NA
"989",989,"EPA0033","122",1,NA,NA
"990",990,"EPA0033","93",1,NA,NA
"991",991,"EPA0033","93",1,NA,NA
"992",992,"EPA0033","93",1,NA,NA
"993",993,"EPA0033","93",1,NA,NA
"994",994,"EPA0033","93",1,NA,NA
"995",995,"EPA0033","93",1,NA,NA
"996",996,"EPA0033","93",1,NA,NA
"997",997,"EPA0033","93",1,NA,NA
"998",998,"EPA0033","93",1,NA,NA
"999",999,"EPA0033","93",1,NA,NA
"1000",1000,"EPA0033","93",1,NA,NA
"1001",1001,"EPA0033","93",1,NA,NA
"1002",1002,"EPA0033","93",1,NA,NA
"1003",1003,"EPA0033","96",1,NA,NA
"1004",1004,"EPA0033","96",1,NA,NA
"1005",1005,"EPA0033","96",1,NA,NA
"1006",1006,"EPA0033","96",1,NA,NA
"1007",1007,"EPA0033","96",1,NA,NA
"1008",1008,"EPA0033","96",1,NA,NA
"1009",1009,"EPA0033","96",1,NA,NA
"1010",1010,"EPA0033","96",1,NA,NA
"1011",1011,"EPA0033","96",1,NA,NA
"1012",1012,"EPA0033","96",1,NA,NA
"1013",1013,"EPA0033","96",1,NA,NA
"1014",1014,"EPA0033","96",NA,NA,NA
"1015",1015,"EPA0033","139",1,NA,NA
"1016",1016,"EPA0033","139",1,NA,NA
"1017",1017,"EPA0033","139",1,NA,NA
"1018",1018,"EPA0033","139",1,NA,NA
"1019",1019,"EPA0033","139",1,NA,NA
"1020",1020,"EPA0033","139",1,NA,NA
"1021",1021,"EPA0033","139",1,NA,NA
"1022",1022,"EPA0033","139",1,NA,NA
"1023",1023,"EPA0033","138",1,NA,NA
"1024",1024,"EPA0033","138",1,NA,NA
"1025",1025,"EPA0033","138",1,NA,NA
"1026",1026,"EPA0033","138",1,NA,NA
"1027",1027,"EPA0033","138",1,NA,NA
"1028",1028,"EPA0033","138",1,NA,NA
"1029",1029,"EPA0033","138",1,NA,NA
"1030",1030,"EPA0033","138",1,NA,NA
"1031",1031,"EPA0033","138",1,NA,NA
"1032",1032,"EPA0033","138",1,NA,NA
"1033",1033,"EPA0033","138",1,NA,NA
"1034",1034,"EPA0033","138",1,NA,NA
"1035",1035,"EPA0033","104",1,NA,NA
"1036",1036,"EPA0033","104",1,NA,NA
"1037",1037,"EPA0033","104",1,NA,NA
"1038",1038,"EPA0033","104",1,NA,NA
"1039",1039,"EPA0033","104",1,NA,NA
"1040",1040,"EPA0033","104",1,NA,NA
"1041",1041,"EPA0033","104",1,NA,NA
"1042",1042,"EPA0033","104",1,NA,NA
"1043",1043,"EPA0033","104",8,NA,NA
"1044",1044,"EPA0033","104",1,NA,NA
"1045",1045,"EPA0033","104",1,NA,NA
"1046",1046,"EPA0033","104",1,NA,NA
"1047",1047,"EPA0033","104",1,NA,NA
"1048",1048,"EPA0033","104",1,NA,NA
"1049",1049,"EPA0033","104",NA,NA,NA
"1050",1050,"EPA0033","104",1,NA,NA
"1051",1051,"EPA0033","104",1,NA,NA
"1052",1052,"EPA0033","105",1,NA,NA
"1053",1053,"EPA0033","105",1,NA,NA
"1054",1054,"EPA0033","105",1,NA,NA
"1055",1055,"EPA0033","105",1,NA,NA
"1056",1056,"EPA0033","105",1,NA,NA
"1057",1057,"EPA0033","105",1,NA,NA
"1058",1058,"EPA0033","105",1,NA,NA
"1059",1059,"EPA0033","105",1,NA,NA
"1060",1060,"EPA0033","105",1,NA,NA
"1061",1061,"EPA0033","105",1,NA,NA
"1062",1062,"EPA0033","105",8,NA,NA
"1063",1063,"EPA0033","105",1,NA,NA
"1064",1064,"EPA0033","105",1,NA,NA
"1065",1065,"EPA0033","105",1,NA,NA
"1066",1066,"EPA0033","105",1,NA,NA
"1067",1067,"EPA0033","105",1,NA,NA
"1068",1068,"EPA0033","105",1,NA,NA
"1069",1069,"EPA0033","105",1,NA,NA
"1070",1070,"EPA0033","105",1,NA,NA
"1071",1071,"EPA0033","105",1,NA,NA
"1072",1072,"EPA0033","128",1,NA,NA
"1073",1073,"EPA0033","128",1,NA,NA
"1074",1074,"EPA0033","128",1,NA,NA
"1075",1075,"EPA0033","128",1,NA,NA
"1076",1076,"EPA0033","119",1,NA,NA
"1077",1077,"EPA0033","119",1,NA,NA
"1078",1078,"EPA0033","119",1,NA,NA
"1079",1079,"EPA0033","119",1,NA,NA
"1080",1080,"EPA0033","119",1,NA,NA
"1081",1081,"EPA0033","119",1,NA,NA
"1082",1082,"EPA0033","119",1,NA,NA
"1083",1083,"EPA0033","119",1,NA,NA
"1084",1084,"EPA0033","119",1,NA,NA
"1085",1085,"EPA0033","119",1,NA,NA
"1086",1086,"EPA0033","119",1,NA,NA
"1087",1087,"EPA0033","119",1,NA,NA
"1088",1088,"EPA0033","61",1,NA,NA
"1089",1089,"EPA0033","61",1,NA,NA
"1090",1090,"EPA0033","61",1,NA,NA
"1091",1091,"EPA0033","20",1,NA,NA
"1092",1092,"EPA0033","20",1,NA,NA
"1093",1093,"EPA0033","102",1,NA,NA
"1094",1094,"EPA0033","102",1,NA,NA
"1095",1095,"EPA0033","102",1,NA,NA
"1096",1096,"EPA0033","102",1,NA,NA
"1097",1097,"EPA0033","102",1,NA,NA
"1098",1098,"EPA0033","102",1,NA,NA
"1099",1099,"EPA0033","103",1,NA,NA
"1100",1100,"EPA0033","103",1,NA,NA
"1101",1101,"EPA0033","103",1,NA,NA
"1102",1102,"EPA0033","103",1,NA,NA
"1103",1103,"EPA0033","103",1,NA,NA
"1104",1104,"EPA0033","103",1,NA,NA
"1105",1105,"EPA0033","103",1,NA,NA
"1106",1106,"EPA0033","118",1,NA,NA
"1107",1107,"EPA0033","118",1,NA,NA
"1108",1108,"EPA0033","118",1,NA,NA
"1109",1109,"EPA0033","118",1,NA,NA
"1110",1110,"EPA0033","118",1,NA,NA
"1111",1111,"EPA0033","118",1,NA,NA
"1112",1112,"EPA0033","118",1,NA,NA
"1113",1113,"EPA0033","118",1,NA,NA
"1114",1114,"EPA0033","118",1,NA,NA
"1115",1115,"EPA0033","118",1,NA,NA
"1116",1116,"EPA0033","118",1,NA,NA
"1117",1117,"EPA0033","159",1,NA,NA
"1118",1118,"EPA0033","151",1,NA,NA
"1119",1119,"EPA0033","151",1,NA,NA
"1120",1120,"EPA0033","151",1,NA,NA
"1121",1121,"EPA0033","151",1,NA,NA
"1122",1122,"EPA0033","151",1,NA,NA
"1123",1123,"EPA0033","151",1,NA,NA
"1124",1124,"EPA0033","151",1,NA,NA
"1125",1125,"EPA0033","151",1,NA,NA
"1126",1126,"EPA0034","78",1,NA,NA
"1127",1127,"EPA0034","78",1,NA,NA
"1128",1128,"EPA0034","78",1,NA,NA
"1129",1129,"EPA0034","78",1,NA,NA
"1130",1130,"EPA0035","34",1,NA,NA
"1131",1131,"EPA0036","49",1,NA,NA
"1132",1132,"EPA0036","49",1,NA,NA
"1133",1133,"EPA0037","80",1,NA,NA
"1134",1134,"EPA0037","80",1,NA,NA
"1135",1135,"EPA0037","79",1,NA,NA
"1136",1136,"EPA0037","79",1,NA,NA
"1137",1137,"EPA0037","68",1,NA,NA
"1138",1138,"EPA0037","104",1,NA,NA
"1139",1139,"EPA0037","104",1,NA,NA
"1140",1140,"EPA0037","104",1,NA,NA
"1141",1141,"EPA0037","104",1,NA,NA
"1142",1142,"EPA0037","104",1,NA,NA
"1143",1143,"EPA0037","104",1,NA,NA
"1144",1144,"EPA0037","104",1,NA,NA
"1145",1145,"EPA0037","104",1,NA,NA
"1146",1146,"EPA0037","104",8,NA,NA
"1147",1147,"EPA0037","104",1,NA,NA
"1148",1148,"EPA0037","104",1,NA,NA
"1149",1149,"EPA0037","104",1,NA,NA
"1150",1150,"EPA0037","104",1,NA,NA
"1151",1151,"EPA0037","104",1,NA,NA
"1152",1152,"EPA0037","104",NA,NA,NA
"1153",1153,"EPA0037","104",1,NA,NA
"1154",1154,"EPA0037","104",1,NA,NA
"1155",1155,"EPA0038","117",1,NA,NA
"1156",1156,"EPA0038","117",1,NA,NA
"1157",1157,"EPA0038","117",1,NA,NA
"1158",1158,"EPA0038","117",1,NA,NA
"1159",1159,"EPA0038","117",1,NA,NA
"1160",1160,"EPA0039","93",1,NA,NA
"1161",1161,"EPA0039","93",1,NA,NA
"1162",1162,"EPA0039","93",1,NA,NA
"1163",1163,"EPA0039","93",1,NA,NA
"1164",1164,"EPA0039","93",1,NA,NA
"1165",1165,"EPA0039","93",1,NA,NA
"1166",1166,"EPA0039","93",1,NA,NA
"1167",1167,"EPA0039","93",1,NA,NA
"1168",1168,"EPA0039","93",1,NA,NA
"1169",1169,"EPA0039","93",1,NA,NA
"1170",1170,"EPA0039","93",1,NA,NA
"1171",1171,"EPA0039","93",1,NA,NA
"1172",1172,"EPA0039","93",1,NA,NA
"1173",1173,"EPA0039","96",1,NA,NA
"1174",1174,"EPA0039","96",1,NA,NA
"1175",1175,"EPA0039","96",1,NA,NA
"1176",1176,"EPA0039","96",1,NA,NA
"1177",1177,"EPA0039","96",1,NA,NA
"1178",1178,"EPA0039","96",1,NA,NA
"1179",1179,"EPA0039","96",1,NA,NA
"1180",1180,"EPA0039","96",1,NA,NA
"1181",1181,"EPA0039","96",1,NA,NA
"1182",1182,"EPA0039","96",1,NA,NA
"1183",1183,"EPA0039","96",1,NA,NA
"1184",1184,"EPA0039","96",NA,NA,NA
"1185",1185,"EPA0039","101",1,NA,NA
"1186",1186,"EPA0039","101",1,NA,NA
"1187",1187,"EPA0039","101",1,NA,NA
"1188",1188,"EPA0039","101",1,NA,NA
"1189",1189,"EPA0039","101",1,NA,NA
"1190",1190,"EPA0039","101",1,NA,NA
"1191",1191,"EPA0039","101",1,NA,NA
"1192",1192,"EPA0039","101",1,NA,NA
"1193",1193,"EPA0039","101",1,NA,NA
"1194",1194,"EPA0039","101",1,NA,NA
"1195",1195,"EPA0039","101",1,NA,NA
"1196",1196,"EPA0039","101",1,NA,NA
"1197",1197,"EPA0039","101",1,NA,NA
"1198",1198,"EPA0039","101",1,NA,NA
"1199",1199,"EPA0039","140",1,NA,NA
"1200",1200,"EPA0039","140",1,NA,NA
"1201",1201,"EPA0039","140",1,NA,NA
"1202",1202,"EPA0039","140",1,NA,NA
"1203",1203,"EPA0039","140",1,NA,NA
"1204",1204,"EPA0039","140",1,NA,NA
"1205",1205,"EPA0039","140",1,NA,NA
"1206",1206,"EPA0039","140",1,NA,NA
"1207",1207,"EPA0039","140",1,NA,NA
"1208",1208,"EPA0039","140",1,NA,NA
"1209",1209,"EPA0039","140",1,NA,NA
"1210",1210,"EPA0039","140",1,NA,NA
"1211",1211,"EPA0039","140",1,NA,NA
"1212",1212,"EPA0039","140",1,NA,NA
"1213",1213,"EPA0039","122",1,NA,NA
"1214",1214,"EPA0039","122",1,NA,NA
"1215",1215,"EPA0039","122",1,NA,NA
"1216",1216,"EPA0039","122",1,NA,NA
"1217",1217,"EPA0039","122",1,NA,NA
"1218",1218,"EPA0039","122",1,NA,NA
"1219",1219,"EPA0039","122",1,NA,NA
"1220",1220,"EPA0039","122",1,NA,NA
"1221",1221,"EPA0039","122",1,NA,NA
"1222",1222,"EPA0039","122",1,NA,NA
"1223",1223,"EPA0039","122",1,NA,NA
"1224",1224,"EPA0039","122",1,NA,NA
"1225",1225,"EPA0039","122",1,NA,NA
"1226",1226,"EPA0039","138",1,NA,NA
"1227",1227,"EPA0039","138",1,NA,NA
"1228",1228,"EPA0039","138",1,NA,NA
"1229",1229,"EPA0039","138",1,NA,NA
"1230",1230,"EPA0039","138",1,NA,NA
"1231",1231,"EPA0039","138",1,NA,NA
"1232",1232,"EPA0039","138",1,NA,NA
"1233",1233,"EPA0039","138",1,NA,NA
"1234",1234,"EPA0039","138",1,NA,NA
"1235",1235,"EPA0039","138",1,NA,NA
"1236",1236,"EPA0039","138",1,NA,NA
"1237",1237,"EPA0039","138",1,NA,NA
"1238",1238,"EPA0039","105",1,NA,NA
"1239",1239,"EPA0039","105",1,NA,NA
"1240",1240,"EPA0039","105",1,NA,NA
"1241",1241,"EPA0039","105",1,NA,NA
